Profile ID,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description
486,FALSE,,FALSE,,FALSE,,TRUE,"Uses open data to generate research and recommendations on how to tackle social issues (e.g. environment, education, food security).",FALSE,
FVmxl0CEHC,TRUE,"Abt is working with Mexican national, state, and local governments to develop tools that provide efficiency, transparency and accountability in legislation.",FALSE,,FALSE,,FALSE,,FALSE,
487,FALSE,,FALSE,,TRUE,used educational data,FALSE,,FALSE,
bDa6j9T5Xu,FALSE,,TRUE,The Accela Civic Platform uses open government data to build cloud services that automate and streamline civic processes,FALSE,,FALSE,,FALSE,
488,TRUE,"Advocates for the exercise of the right of access to information, encourages the citizensâ€™ demand for government information through civic education, andt for enhanced transparency in the work of public institutions at central and local level.",FALSE,,FALSE,,FALSE,,FALSE,
489,FALSE,,TRUE,Uses open weather data to provide weather forecast services.,FALSE,,FALSE,,FALSE,
490,FALSE,,FALSE,,TRUE,integrate open data into probability models for risk calculation,FALSE,,FALSE,
491,FALSE,,TRUE,FTSE 100 tax haven tracker uses businesses public records.,FALSE,,FALSE,,FALSE,
sEVjzGYQz3,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
492,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
HlFgMQFvNU,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
1rhXyUCE5f,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
493,FALSE,,FALSE,,TRUE,comprehensive data aggregation -  unmatched data integrity -  flexible analytics -  intuitive reporting -  limitless customization and interactive portals,FALSE,,FALSE,
7tRlBZ3yhO,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
u8I9HV036Z,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
LisET6Ev9W,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
R3uKkZGjCU,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Yz3JyiXBOU,TRUE,Produces statistical data on economic and social situations -  which constitutes the background information in the Bankâ€™s flagship development publications.,FALSE,,FALSE,,FALSE,,FALSE,
FKbWfpl6Oq,TRUE,Produces research and knowledge production on access to information in Africa -  promotes the ratification and domestication of regional instruments -  and promotes legislation and implementation of FOI frameworks on the African Continent.,FALSE,,FALSE,,FALSE,,FALSE,
497,FALSE,,TRUE,the AgSquared software integrates U.S. soil and weather data to help farmers manage their farm.,FALSE,,FALSE,,FALSE,
495,TRUE,"Uses open data to produce non-partisan investigative reporting guided by public interest on Brazilian and Latin American current important issues from the people point of view, in order to strengthen the right to information, and to facilitate democratic debate and promotion of human rights.",FALSE,,FALSE,,FALSE,,FALSE,
494,FALSE,,TRUE,creation of indicators and indexes.,TRUE,market research -  feasibility and data validation,FALSE,,FALSE,
496,FALSE,,TRUE,The Agricultural Information System provides a databases of major crops to facilitate decision making for the agricultural industry.,FALSE,,FALSE,,FALSE,
498,FALSE,,FALSE,,TRUE,Aianalytics uses data from government agencies to provide data analytics solutions for detecting fraud (fraud control) -  threats detection -  and cybersecurity. It also uses analytics solutions to provide other forms of risk management to companies and public organisations,FALSE,,FALSE,
499,TRUE,"Collects, curates, and publishes data on more than $5.5 trillion dollars in development finance from 90 bilateral and multilateral agencies at the project level, making all of this information available in a searchable database of development finance activities.",FALSE,,FALSE,,FALSE,,FALSE,
500,FALSE,,TRUE,Uses healthcare open data to recommend the most appropriate providers.,FALSE,,FALSE,,FALSE,
6pfEVegtCm,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
jHyNBLdQCe,FALSE,,TRUE,Propel is an IP strategythat is an open source software that uses open innovation and the protection and exploitation of data.,FALSE,,FALSE,,FALSE,
503,FALSE,,FALSE,,TRUE,combines open and public data with own research to help funders and non-profits better understand the patterns -  and specifically the risks and opportunities in their funding environment.,FALSE,,FALSE,
18BzZKVuEA,FALSE,,TRUE,Uses housing open data to get insights into the real estate market.,FALSE,,FALSE,,FALSE,
HtiXImBiTo,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
xhlCKGiohh,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
6PpFCC6kk7,TRUE,Uses open data to create applications such as Open Data Albania and Tax Calculator.,FALSE,,FALSE,,FALSE,,FALSE,
504,FALSE,,FALSE,,TRUE,uses open data for insights regarding their federal government procurement agreements.,FALSE,,FALSE,
xp1XFMdxXd,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
q9HRhIIX3x,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
505,TRUE,provides testimony to Congress based on data related to vehicle safety -  traffic crashes and new technologies.,FALSE,,FALSE,,FALSE,,FALSE,
75agZrbgF2,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
507,FALSE,,TRUE,"Uses education open data to develop college financial tools at the federal, college, and state levels.",FALSE,,FALSE,,FALSE,
Ws5COXGVJI,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
leCbVkqzgf,TRUE,Advocactes for issues related to transparency and access to public information.,FALSE,,FALSE,,FALSE,,FALSE,
509,FALSE,,FALSE,,FALSE,,TRUE,Uses environment open data to product research towards a sustainable green living environment.,FALSE,
0jaLaGcbPU,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
510,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
512,FALSE,,TRUE,AAMVA develops and maintains many information systems that facilitate the electronic exchange of driver -  vehicle -  and identity information between organizations.,FALSE,,TRUE,responding to data queries from members,FALSE,
513,FALSE,,FALSE,,FALSE,,TRUE,conducts studies in the fields of education -  health -  work and training.,FALSE,
DFPUK2JiCN,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
514,TRUE,influence policy and support education programs for the advancement of the trucking industry.,FALSE,,FALSE,,FALSE,,FALSE,
515,TRUE,"Works in collaboration with several international partners in the development of open government data, and has created widely adopted open data and format standards (like Blue Button and Open 311 API).",FALSE,,FALSE,,FALSE,,FALSE,
516,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
517,FALSE,,FALSE,,TRUE,uses data from national open data portal,FALSE,,FALSE,
8ODVDuWpz4,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
p81LYFDuYL,FALSE,,TRUE,"Uses open education data to develop software for educational planning, evaulation of academic management; uses open education data to preform data analysis reports and to offer educational consulting services ",FALSE,,FALSE,,FALSE,
518,FALSE,,FALSE,,TRUE,fact checking and infographics,FALSE,,FALSE,
519,FALSE,,FALSE,,TRUE,fact checking,FALSE,,FALSE,
Xodyfs19ku,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
520,FALSE,,TRUE,develops infrastructure for creating and operating apps and APIs.,FALSE,,FALSE,,FALSE,
65i8y0TvGs,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
521,FALSE,,FALSE,,TRUE,Use open data to analyze the non-profit sector.,FALSE,,FALSE,
XFUJFFTjxf,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
523,TRUE,Develops tools to promote citizen participation processes and public interest.,FALSE,,FALSE,,FALSE,,FALSE,
522,FALSE,,TRUE,"Creates products to help banks, businesses and government create opportunity, savings, efficiency and value from all types of data",FALSE,,FALSE,,FALSE,
524,FALSE,,FALSE,,TRUE,Provides a Location based F2S (Farm 2 Shop) Trading Platform for Agri Produce using open data and crowdsourced data to impact farming decisions.,FALSE,,FALSE,
C6iBYbT7nD,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
5sA9dyms6j,FALSE,,TRUE,"uses data to design visualtization projects for their customers; for example, they used open geographical and bike racing data to create a real time, 3D map of a major bking event in the uk",FALSE,,FALSE,,FALSE,
525,FALSE,,FALSE,"Uses open data to provide information about neiborhood, accomodation, transportation and other  travel related travel information in Taiwan through a mobile app platform for travellers around the world, so that tourists can experience the tailored local tour in Taiwan.",FALSE,,FALSE,,FALSE,
ZkzYU27r5L,FALSE,,TRUE,App for searching medical drugs (uses healthcare data).,FALSE,,FALSE,,FALSE,
L5KhGXkaMT,FALSE,,TRUE,"creates a Platform for Government that is secure, open, and scalable; uses open government data in different sectors to create cloud-base lined solutions ",FALSE,,FALSE,,FALSE,
DWJJ5FWZjd,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
k9B4KW2zkM,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
v2gygypvOE,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
8f3XYdAbp6,FALSE,,TRUE,Develops digital solutions such as apps using open data.,FALSE,,FALSE,,FALSE,
fEm7J0Y1oW,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
dJZmfGgjj9,FALSE,,TRUE,Uses envrionmental open data to enable associates to be informed.,FALSE,,FALSE,,FALSE,
MdQONEbcN6,TRUE,Advocactes for issues related to transparency and access to public information.,FALSE,,FALSE,,FALSE,,FALSE,
Z8yPO7Kl5I,FALSE,,TRUE,Uses housing open data to enable associates to be informed.,FALSE,,FALSE,,FALSE,
ws6PbGmHch,FALSE,,TRUE,Uses transportation open data to enable associates to be informed.,FALSE,,FALSE,,FALSE,
2XJgS0GKYZ,TRUE,ANES has worked in different programs for education -  research -  finance and technology transfer.,TRUE,The Society has presence in 20 states in Mexico -  where most of the renewable energy projects are located -  such as Oaxaca (wind) -  Baja California (solar) -  Veracruz (biomass) -  Guanajuato (biogas) -  Michoacan (geothermal) -  etc.,TRUE,,TRUE,Â The Association publishes a quarterly magazine â€œRenewable Energyâ€ù -  which presents scientific -  technical and disclosure articles for the use of unconventional sources of energy -  we provide information on conferences -  fairs and trade missions -  both domestic and international.Â ,FALSE,
2XJgS0GKYZ,TRUE,Advocactes for issues related to transparency and access to public information.,FALSE,,FALSE,,FALSE,,FALSE,
527,FALSE,,FALSE,,TRUE,open data used to verify information received during the credit application process.,FALSE,,FALSE,
528,TRUE,Advocactes for issues related to transparency and access to public information.,FALSE,,FALSE,,FALSE,,FALSE,
2B30MVgkOp,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
BernWRzUjv,FALSE,,FALSE,"Uses open data on mobile phones and internet to connect employers with the best mid-to-low wage candidates in their area. Through ways of job posting, cadidate database and voice prescreening, employers can be equipped with a better means and useful information to find work.",FALSE,,FALSE,,FALSE,
FctnBWin1O,TRUE,Uses open data in various civic projects as well as in actions directed towards influencing regional and national policy making.,FALSE,,FALSE,,FALSE,,FALSE,
529,FALSE,,FALSE,"Uses open data to build up complete information systems in various entertainment industries such as tourism and restaurent industry. So that comapnies in these industries can use the information systems to improve the internal management in terms of employees, operations, client memberships, etc.",FALSE,,FALSE,,FALSE,
530,FALSE,,FALSE,,TRUE,open data used to conduct competitive and market analysis -  produce sector benchmarks and create databases.,FALSE,,FALSE,
Ta2juPP2zf,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
vT5jgIzjFW,FALSE,,TRUE,uses open geospace data to create geospace apps,FALSE,,FALSE,,FALSE,
KruTHN8qA9,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
FNkVRKqCu7,TRUE,"Works with all kinds of libraries, including government, and uses health libraries as the best example of how libraries use open data.",FALSE,,FALSE,,FALSE,,FALSE,
1Wrrs9CoES,TRUE,Work with all kinds of libraries -  school -  public -  corporate -  law -  government -  academic -  TAFE and the major collecting institutions -  and uses health libraries as the best example of how libraries use open data.,FALSE,,FALSE,,FALSE,,FALSE,
1n6uF4VRZF,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
531,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
lOyIahjlQY,FALSE,,TRUE,uses tax data and open address data to create a sales tax automation software ,FALSE,,FALSE,,FALSE,
eIRN6UPhOo,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
zAftrPikHa,FALSE,,TRUE,Uses geospatial data to develop satellite solutions.,FALSE,,FALSE,,FALSE,
ldu6QvOCBg,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
nSG2PiY3b2,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
532,FALSE,,TRUE,Uses geospatial data to develop geospatial analysis (GIS) software.,FALSE,,FALSE,,FALSE,
ETX8W18lEc,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
543,FALSE,,FALSE,,TRUE,enrich data on companies with use open sources,FALSE,,FALSE,
rIpAve3Mg7,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
h6pmfQHGcA,FALSE,,TRUE,Mobile application for visiting museums in Moscow -  including access and travel options.,FALSE,,FALSE,,FALSE,
ZzAq4xtUHm,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
552,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
1WQF6jrGZm,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
D3RnZBuJua,TRUE,Promotes the ideas of knowledge sharing and open data using a multi stakeholder approach by engaging government -  private sector and civil society in program planning and development -  implementation -  monitoring & evaluation.,FALSE,,FALSE,,FALSE,,FALSE,
9O1JJlAFLj,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
533,TRUE,Advocactes for issues related to transparency and access to public information.,FALSE,,FALSE,,FALSE,,FALSE,
GECV6K5eOo,FALSE,,TRUE,Uses open data to provide financial services.,FALSE,,FALSE,,FALSE,
RpZW1NuhpQ,FALSE,,TRUE,Uses open data to provide financial services.,FALSE,,FALSE,,FALSE,
Qh1jCaoJ8x,FALSE,,TRUE,Uses open data to provide financial services.,FALSE,,FALSE,,FALSE,
f7aE7YZjVq,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
zkzHzEt6vy,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
534,FALSE,,TRUE,develops products based on open data,TRUE,provides insights based on open data,FALSE,,FALSE,
535,FALSE,,FALSE,,TRUE,Provides insights based on open data (e.g. analytics -  visualizations),FALSE,,FALSE,
jjc8E9gWtX,TRUE,"Uses open data in various projects such as ""Walking the Beat: Mining Seattleâ€™s Police Report Data.""",FALSE,,FALSE,,FALSE,,FALSE,
536,FALSE,,FALSE,,TRUE,National Agricultural Statistics Service provides useful information for planning farm operations,FALSE,,FALSE,
mVEEkJgHcj,FALSE,,FALSE,,FALSE,,TRUE,Uses different types of urban data for research and civic projects.,FALSE,
05nEaXhtDS,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
DwDFtEP85F,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
YkvGw8Q6G3,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
l3tcwBErhQ,FALSE,,FALSE,,FALSE,,TRUE,Uses open data to create interactive maps and for general research.,FALSE,
538,TRUE,Advocates for issues related to transparency and access to public information.,FALSE,,FALSE,,FALSE,,FALSE,
540,FALSE,,TRUE,Uses consumer protection data to detect fraud and grey charges made mainly by financial institutions.,FALSE,,FALSE,,FALSE,
8luHlV1F5Z,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
541,FALSE,,FALSE,,TRUE,Use public data about Vancouverâ€™s shorelines to examine the impact of a rising sea level on development in the city,FALSE,,FALSE,
YzRG1oHQpC,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
542,FALSE,,TRUE,Birds Eye Systems make use of transportation data to show accurate and up-to-date information of congestion -  average conditions and smooth flowing traffic conditions on a digital map.,FALSE,,FALSE,,FALSE,
auRhp9Xecu,FALSE,,TRUE,"uses shareable tax data, jobs data, and other financial information hidden in regulatory documents to create the BizVizz, a corporate accountablitiy app; offers an open API so that people can access corporate data ",FALSE,,FALSE,,FALSE,
544,FALSE,,FALSE,,TRUE,uses environmental and energy open data to increase energy efficiency.,FALSE,,FALSE,
545,FALSE,,FALSE,,TRUE,aggregates real estate data derived from both proprietary and public data sources.,FALSE,,FALSE,
546,FALSE,,TRUE,"GPS, Open Data, and high-quality speech synthesis are among the key technologies that made the successful creation of the app possible.",FALSE,,FALSE,,FALSE,
547,FALSE,,TRUE,Uses open data to provide research insights in various industries.,FALSE,,FALSE,,FALSE,
g1RNSms6Sx,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
rD9WtjzER0,FALSE,,TRUE,works with the UK government departments and the data they have to offer online platforms ,FALSE,,FALSE,,FALSE,
KOLFqmzu0t,FALSE,,TRUE,uses open geospatial and housing data to provide uses with up-todate housing information,FALSE,,FALSE,,FALSE,
qAvQrHOJF2,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
548,FALSE,,TRUE,simplifies the language used in the public debate,FALSE,,FALSE,,FALSE,
550,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
551,FALSE,,TRUE,app Calles histÃ_ricas uses open data,FALSE,,FALSE,,FALSE,
ZpKooWi4BG,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
553,TRUE,Advocates for issues related to transparency and access to public information.,FALSE,,FALSE,,FALSE,,FALSE,
88Lg2ORUZW,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
554,FALSE,,TRUE,Uses open data about 401(k) plans to help users understand the fees associated with these plans.,FALSE,,FALSE,,FALSE,
x7yr3LjIq9,TRUE,Promotes open data; Explores the potential for open data through research and presentations.,FALSE,,FALSE,,FALSE,,FALSE,
sIBoEm5cgU,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
GgnhYk5ch8,FALSE,,TRUE,We use openstreetmap location data in our location server to reverse geocode neighbourhood names out of latitude/longitude data,FALSE,,FALSE,,FALSE,
555,TRUE,website devoted to making Nigerian budgets intelligible,FALSE,,FALSE,,FALSE,,FALSE,
556,FALSE,,FALSE,,TRUE,The application allows users to report problems concerning goverment operations -  such as failure to issue fiscal receipts -  parking -  damage to roads and the environment.,FALSE,,FALSE,
556,FALSE,,TRUE,Uses open data to conduct analysis of market research and public opinion in Mexico.,FALSE,,FALSE,,FALSE,
557,FALSE,,TRUE,the Buholegal system is built on open data,FALSE,,FALSE,,FALSE,
OH3UDWhbEQ,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
D3Ydew0weI,FALSE,,TRUE,Uses building permits data to learn about the type of work contractors perform in home remodeling.,FALSE,,FALSE,,FALSE,
558,FALSE,,TRUE,All city data is visualized in a simple to use interactive map - Provides  an  easy-to-use  interface  for  citizens  to  access  building  permits -   Planning  Applications -   Business  Licenses -   Capital  Projects -   Engineering  Works  and  Public  Events -   24hrs  a  day.  Thereby  reducing  costly  and  time-â€êconsuming  visits  to agency offices,FALSE,,FALSE,,FALSE,
pyoqclv2va,TRUE,Promotes access to local environment data (e.g. Information on Brisbane's catchments).,FALSE,,FALSE,,FALSE,,FALSE,
hHwcKYQcLA,FALSE,,TRUE,"uses open transportation and geospatial data to offer users clear and accurate bus travel information like schedules, prices, reviews, service classes, amenities, stop addresses; in the form of website and apps",FALSE,,FALSE,,FALSE,
xj7AuLn8TE,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
SOlmFbMFw9,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
8pchrMUZyo,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
559,FALSE,,FALSE,,TRUE,Processes open data,FALSE,,FALSE,
AHzAjLOgR3,FALSE,,TRUE,Uses open data to conduct research and consultancy in public policies.,FALSE,,FALSE,,FALSE,
zGZmAQQDpW,FALSE,,TRUE,has an open source business intelligence option for users who want to use open information systems for the companies ,FALSE,,TRUE,,FALSE,
561,FALSE,,FALSE,,FALSE,,TRUE,Uses open data to conduct research in the field of agriculture and the environment.,FALSE,
LHmLWfzlZK,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
1HXiowGnpB,FALSE,,TRUE,Uses open data to provide financial services.,FALSE,,FALSE,,FALSE,
572,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
576,FALSE,,FALSE,,TRUE,CARTaGENE provides access to research with a repository consisting of both biological samples and data on the health and lifestyles of more than 40 - 000 Quebecers aged between 40 and 69 years old.,FALSE,,FALSE,
01p6Tlwxre,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
74c0E4mZTT,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
584,FALSE,,TRUE,"Has developed various government data portal, such as HealthCare.gov.",FALSE,,FALSE,,FALSE,
MidiH7JRti,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
Mv5HEhPAJG,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
586,FALSE,,FALSE,,FALSE,,TRUE,"Uses open data to carry out research for the improvement of staple foods, tropical forages for livestock, and other work on agrobiodiversity,",FALSE,
587,TRUE,uses electoral data in Oservatorio Electoral Argentino,FALSE,,FALSE,,FALSE,,FALSE,
idOPje7EHK,FALSE,,TRUE,partners with and uses open Russian governmental department data to offer IT consulting services ,TRUE,,TRUE,,FALSE,
609,TRUE,"Uses open data to commit to open knowledge, access to information, transparency, protection of privacy, freedom of expression, inclusion and collaborative networking for all the citizens.",FALSE,,FALSE,,FALSE,,FALSE,
T3l7jNHwv7,TRUE,Develops various activities in the realm of open data and right to information.,FALSE,,FALSE,,FALSE,,FALSE,
622,FALSE,,TRUE,offer technology that helps companies with web-based IP management. optimization,FALSE,,FALSE,,FALSE,
BJgsHvMjzF,TRUE,Uses census open data to provide social programs for citizen empowerment.,FALSE,,FALSE,,FALSE,,FALSE,
562,FALSE,,TRUE,Uses financial open data to provide information on public companies.,FALSE,,FALSE,,FALSE,
563,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
564,FALSE,,TRUE,Uses open data to get insights into the construction market.,FALSE,,FALSE,,FALSE,
565,FALSE,,TRUE,Using patent open data -  Cambia pioneered the development of an open patent-based Commons,FALSE,,FALSE,,FALSE,
MGMdfKWLq3,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
SjEJbiArMd,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
adcH7sr9xz,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
566,FALSE,,FALSE,,TRUE,consultants for U.S. DOT -  EPA and NPS,FALSE,,FALSE,
PQLmjmyMUE,TRUE,Encourages citizens at requesting open data about contracted work in the public spaces.,FALSE,,FALSE,,FALSE,,FALSE,
s5lbTGaEuY,FALSE,,TRUE,uses open geospatial and traffic data to provide consultancy and mapping services to the public  ,FALSE,,FALSE,,FALSE,
mrsybJ19XX,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,Help the private sector tap into open data to support commercialization activities
NUIwDn4KzT,FALSE,,TRUE,"collects governmental, private and public documents, including data to offer users e-digest of Australitian policies ",FALSE,,FALSE,,FALSE,
bwCF289w6c,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
567,FALSE,,TRUE,Uses open data to provide financial and consulting services.,FALSE,,FALSE,,FALSE,
568,FALSE,,FALSE,,TRUE,analysis of labor and veterans data,FALSE,,FALSE,
569,FALSE,,TRUE,Uses open data to provide financial services.,FALSE,,FALSE,,FALSE,
jYcrDHMrBH,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
570,TRUE,Is a relevant player in open data by providing services around data.,FALSE,,FALSE,,FALSE,,FALSE,
571,FALSE,,TRUE,apps -  e.g. Range - a mobile app that locates the time and place where free summer meals are served to children who are hungry (especially during summer when no free school meals are available).,FALSE,,FALSE,,FALSE,
xVbii42dVA,FALSE,,TRUE,uses and collects carbon and energy data to generat reports and consult companies on ho to be more efficient ,FALSE,,FALSE,,FALSE,
1uNPhaFRjP,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
573,FALSE,,FALSE,,TRUE,Use open data to be better able to respond on price changes of rice -  corn etc,FALSE,,FALSE,
Lh7RPRCxmL,FALSE,,FALSE,,FALSE,,TRUE,We publish all the data collected (for others to reuse); visualizations,FALSE,
574,TRUE,works with open data in various projects -  e.g. hackathons,FALSE,,FALSE,,TRUE,,FALSE,
575,FALSE,,FALSE,,TRUE,market analysis for car sharing sector,FALSE,,FALSE,
0qfIm7SHbt,TRUE,"Uses demographic open data for the defense of indigenous lands against megaprojects such as hydroelectric dams, mining, or oil, by producing accurate information on how the population is going to be affected.",FALSE,,FALSE,,TRUE,Determine the potential damages resulting from the installation -  operation and closing of megaprojects.,FALSE,
Ude9wU5BZG,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
MmgUSZNlA0,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
uSm0aNHml4,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
ZKnETHYHA4,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
